player,team_draft,round,pick
Jared Abbrederis,Green Bay Packers ,5,176
Davante Adams,Green Bay Packers ,2,53
Mo Alexander,St. Louis Rams ,4,110
Ricardo Allen,Atlanta Falcons ,5,147
Jace Amaro,New York Jets ,2,49
Antonio Andrews,,0,0
Dri Archer,Pittsburgh Steelers ,3,97
Matt Armstrong,,0,0
George Atkinson,,0,0
Jeremiah Attaochu,San Diego Chargers ,2,50
Dion Bailey,,0,0
Anthony Barr,Minnesota Vikings ,1,9
Lamin Barrow,Denver Broncos ,5,156
Deion Belue,,0,0
Kelvin Benjamin,Carolina Panthers ,1,28
Bene' Benwikere,Carolina Panthers ,5,148
Nat Berhe,New York Giants ,5,152
Kapri Bibbs,,0,0
Joel Bitonio,Cleveland Browns ,2,35
Rob Blanchflower,Pittsburgh Steelers ,7,230
Alfred Blue,Houston Texans ,6,181
Russell Bodine,Cincinnati Bengals ,4,111
Conor Boffeli,,0,0
Chris Borland,San Francisco 49ers ,3,77
Blake Bortles,Jacksonville Jaguars ,1,3
Tre Boston,Carolina Panthers ,4,128
Chris Boswell,,0,0
Tajh Boyd,New York Jets ,6,213
Chris Boyd,,0,0
Carl Bradford,Green Bay Packers ,4,121
Bashaud Breeland,Washington Redskins ,4,102
Teddy Bridgewater,Minnesota Vikings ,1,32
Justin Britt,Seattle Seahawks ,2,64
Jay Bromley,New York Giants ,3,74
Terrence Brooks,Baltimore Ravens ,3,79
Preston Brown,Buffalo Bills ,3,73
Jonathan Brown,,0,0
John Brown,Arizona Cardinals ,3,91
Corey Brown,,0,0
Martavis Bryant,Pittsburgh Steelers ,4,118
Deone Bucannon,Arizona Cardinals ,1,27
Max Bullough,,0,0
Isaiah Burse,,0,0
Trey Burton,,0,0
Michael Campanaro,Baltimore Ravens ,7,218
Ka'Deem Carey,Chicago Bears ,4,117
Derek Carr,Oakland Raiders ,2,36
Ryan Carrethers,San Diego Chargers ,5,165
Travis Carrie,Oakland Raiders ,7,219
Steven Clark,,0,0
Will Clarke,Cincinnati Bengals ,3,88
Ha Ha Clinton-Dix,Green Bay Packers ,1,21
Jadeveon Clowney,Houston Texans ,1,1
Ross Cockrell,Buffalo Bills ,4,109
Deandre Coleman,,0,0
Brandon Coleman,,0,0
Kain Colter,,0,0
Aaron Colvin,Jacksonville Jaguars ,4,114
Brandin Cooks,New Orleans Saints ,1,20
J.C. Copeland,,0,0
Damian Copeland,,0,0
Tim Cornett,,0,0
Scott Crichton,Minnesota Vikings ,3,72
Isaiah Crowell,,0,0
Mike Davis,,0,0
Chris Davis,,0,0
A.D. Denham,,0,0
Darqueze Dennard,Cincinnati Bengals ,1,24
Pierre Desir,Cleveland Browns ,4,127
Brandon Dixon,New York Jets ,6,195
Ahmad Dixon,Dallas Cowboys ,7,248
Aaron Donald,St. Louis Rams ,1,13
Jonathan Dowling,Oakland Raiders ,7,247
Dakota Dozier,New York Jets ,4,137
Joe Don Duncan,,0,0
Kony Ealy,Carolina Panthers ,2,60
Dominique Easley,New England Patriots ,1,29
Eric Ebron,Detroit Lions ,1,10
Kasim Edebali,,0,0
Kadeem Edwards,Tampa Bay Buccaneers ,5,143
Bruce Ellington,San Francisco 49ers ,4,106
Justin Ellis,Oakland Raiders ,4,107
I.K. Enemkpali,New York Jets ,6,210
Quincy Enunwa,New York Jets ,6,209
Shaquelle Evans,New York Jets ,4,115
Mike Evans,Tampa Bay Buccaneers ,1,7
Antone Exum,Minnesota Vikings ,6,182
David Fales,Chicago Bears ,6,183
Matt Feiler,,0,0
Anthony Fera,,0,0
Ego Ferguson,Chicago Bears ,2,51
C.J. Fiedorowicz,Houston Texans ,3,65
Tim Flanders,,0,0
Cameron Fleming,New England Patriots ,4,140
David Fluellen,,0,0
Dee Ford,Kansas City Chiefs ,1,23
Khairi Fortt,New Orleans Saints ,4,126
Bennie Fowler,,0,0
Austin Franklin,,0,0
Devonta Freeman,Atlanta Falcons ,4,103
Kyle Fuller,Chicago Bears ,1,14
Zach Fulton,Kansas City Chiefs ,6,193
Tyler Gaffney,Carolina Panthers ,6,204
Phillip Gaines,Kansas City Chiefs ,3,87
E.J. Gaines,St. Louis Rams ,6,188
Jeremy Gallon,New England Patriots ,7,244
Jimmy Garoppolo,New England Patriots ,2,62
James Gayle,,0,0
Jeremiah George,New York Jets ,5,154
Justin Gilbert,Cleveland Browns ,1,8
Crockett Gillmore,Baltimore Ravens ,3,99
Demetri Goodson,Green Bay Packers ,6,197
Ryan Grant,Washington Redskins ,5,142
Marion Grice,San Diego Chargers ,6,201
Xavier Grimble,,0,0
Ryan Groy,,0,0
Ra'Shede Hageman,Atlanta Falcons ,2,37
Andre Hal,Houston Texans ,7,216
Jon Halapio,New England Patriots ,6,179
Victor Hampton,,0,0
Jonotthan Harrison,,0,0
Taylor Hart,Philadelphia Eagles ,5,141
Matt Hazel,Miami Dolphins ,6,190
Marcus Heit,,0,0
Seantrel Henderson,Buffalo Bills ,7,237
Robert Herron,Tampa Bay Buccaneers ,6,185
Ryan Hewitt,,0,0
Jeremy Hill,Cincinnati Bengals ,2,55
Anthony Hitchens,Dallas Cowboys ,4,119
Zach Hocker,Washington Redskins ,7,228
Cody Hoffman,,0,0
Tom Hornsey,,0,0
Adrian Hubbard,,0,0
Marqueston Huff,Tennessee Titans ,4,122
Josh Huff,Philadelphia Eagles ,3,86
Allen Hurns,,0,0
James Hurst,,0,0
Carlos Hyde,San Francisco 49ers ,2,57
Kerry Hyder,,0,0
Louis Nix III,Houston Texans ,3,83
Gabe Ikard,,0,0
Gabe Jackson,Oakland Raiders ,3,81
Bennett Jackson,New York Giants ,6,187
Andrew Jackson,Indianapolis Colts ,6,203
Nic Jacobs,,0,0
Kendall James,Minnesota Vikings ,6,184
Ja'Wuan James,Miami Dolphins ,1,19
Jeff Janis,Green Bay Packers ,7,236
Stanley Jean-Baptiste,New Orleans Saints ,2,58
Jackson Jeffcoat,,0,0
Marcel Jensen,,0,0
Timmy Jernigan,Baltimore Ravens ,2,48
Wesley Johnson,Pittsburgh Steelers ,5,173
Storm Johnson,Jacksonville Jaguars ,7,222
Dontae Johnson,San Francisco 49ers ,4,129
Anthony Johnson,,0,0
T.J. Jones,Detroit Lions ,6,189
Howard Jones,,0,0
DaQuan Jones,Tennessee Titans ,4,112
Christian Jones,,0,0
Reggie Jordan,,0,0
Henry Josey,,0,0
Lamarcus Joyner,St. Louis Rams ,2,41
Odell Beckham Jr.,New York Giants ,1,12
James Wilder Jr.,,0,0
Devon Kennard,New York Giants ,5,174
Zach Kerr,,0,0
Christian Kirksey,Cleveland Browns ,3,71
Cyrus Kouandjio,Buffalo Bills ,2,44
Kenny Ladler,,0,0
Jarvis Landry,Miami Dolphins ,2,63
Tyler Larsen,,0,0
Cody Latimer,Denver Broncos ,2,56
Demarcus Lawrence,Dallas Cowboys ,2,34
Nevin Lawson,Detroit Lions ,4,133
Marqise Lee,Jacksonville Jaguars ,2,39
Charles Leno,Chicago Bears ,7,246
A.C. Leonard,,0,0
Richie Leone,,0,0
Taylor Lewan,Tennessee Titans ,1,11
Isaiah Lewis,,0,0
Brandon Linder,Jacksonville Jaguars ,3,93
Corey Linsley,Green Bay Packers ,5,161
Boseko Lokombo,,0,0
Spencer Long,Washington Redskins ,3,78
Craig Loston,,0,0
Marcus Lucas,,0,0
Cornelius Lucas,,0,0
Colt Lyerla,,0,0
Jordan Lynch,,0,0
Arthur Lynch,Miami Dolphins ,5,155
Aaron Lynch,San Francisco 49ers ,5,150
Khalil Mack,Oakland Raiders ,1,5
Cody Mandell,,0,0
Eathyn Manumaleuna,,0,0
Johnny Manziel,Cleveland Browns ,1,22
Cassius Marsh,Seattle Seahawks ,4,108
Zack Martin,Dallas Cowboys ,1,16
Marcus Martin,San Francisco 49ers ,3,70
Kareem Martin,Arizona Cardinals ,3,84
Tre Mason,St. Louis Rams ,3,75
Jeff Mathews,,0,0
Jordan Matthews,Philadelphia Eagles ,2,42
Jake Matthews,Atlanta Falcons ,1,6
Josh Mauro,,0,0
A.J. McCarron,Cincinnati Bengals ,5,164
Daniel McCullers,Pittsburgh Steelers ,6,215
Dexter McDougle,New York Jets ,3,80
Keith McGill,Oakland Raiders ,4,116
Jerick McKinnon,Minnesota Vikings ,3,96
Zach Mettenberger,Tennessee Titans ,6,178
Jack Mewhort,Indianapolis Colts ,2,59
Trey Millard,San Francisco 49ers ,7,245
Tevin Mims,,0,0
Terrance Mitchell,Dallas Cowboys ,7,254
Donte Moncrief,Indianapolis Colts ,3,90
Zach Moore,New England Patriots ,6,198
Stephen Morris,,0,0
James Morris,,0,0
Morgan Moses,Washington Redskins ,3,66
C.J. Mosley,Baltimore Ravens ,1,17
Adam Muema,,0,0
Trent Murphy,Washington Redskins ,2,47
Jake Murphy,,0,0
Aaron Murray,Kansas City Chiefs ,5,163
Jordan Najvar,,0,0
Jonathan Newsome,Indianapolis Colts ,5,166
Troy Niklas,Arizona Cardinals ,2,52
Kevin Norwood,Seattle Seahawks ,4,123
Kyle Van Noy,Detroit Lions ,2,40
Pat O'Donnell,Chicago Bears ,6,191
Jeoffrey Pagan,Houston Texans ,6,177
Tenny Palepoi,,0,0
Matt Paradis,Denver Broncos ,6,207
Matt Patchan,,0,0
Jacob Pedersen,,0,0
LaDarius Perkins,,0,0
Kevin Pierre-Louis,Seattle Seahawks ,4,132
Ronald Powell,New Orleans Saints ,5,169
Jabari Price,Minnesota Vikings ,7,225
Calvin Pryor,New York Jets ,1,18
Loucheiz Purifoy,,0,0
Kelcy Quarles,,0,0
Kaleb Ramsey,San Francisco 49ers ,7,243
Keith Reaser,San Francisco 49ers ,5,170
Silas Redd,,0,0
Tevin Reese,San Diego Chargers ,7,240
Caraun Reid,Detroit Lions ,5,158
Trevor Reilly,New York Jets ,7,233
Bryn Renner,,0,0
Rashaad Reynolds,,0,0
Ed Reynolds,Philadelphia Eagles ,5,162
Paul Richardson,Seattle Seahawks ,2,45
Cyril Richardson,Buffalo Bills ,5,153
Antonio Richardson,,0,0
Weston Richburg,New York Giants ,2,43
Marcus Roberson,,0,0
Greg Robinson,St. Louis Rams ,1,2
Allen Robinson,Jacksonville Jaguars ,2,61
Bradley Roby,Denver Broncos ,1,31
Richard Rodgers,Green Bay Packers ,3,98
Michael Sam,St. Louis Rams ,7,249
Bishop Sankey,Tennessee Titans ,2,54
Cairo Santos,,0,0
Jalen Saunders,New York Jets ,4,104
Tom Savage,Houston Texans ,4,135
Michael Schofield,Denver Broncos ,3,95
Lache Seastrunk,Washington Redskins ,6,186
Austin Seferian-Jenkins,Tampa Bay Buccaneers ,2,38
Connor Shaw,,0,0
Ryan Shazier,Pittsburgh Steelers ,1,15
Prince Shembo,Atlanta Falcons ,4,139
Charles Sims,Tampa Bay Buccaneers ,3,69
Shayne Skov,,0,0
Yawin Smallwood,Atlanta Falcons ,7,253
Chris Smith,Jacksonville Jaguars ,5,159
Marcus Smith,Philadelphia Eagles ,1,26
Jerome Smith,,0,0
Telvin Smith,Jacksonville Jaguars ,5,144
Willie Snead,,0,0
Daniel Sorensen,,0,0
Dezmen Southward,Atlanta Falcons ,3,68
Tyler Starr,Atlanta Falcons ,7,255
Anthony Steen,,0,0
Shamar Stephen,Minnesota Vikings ,7,220
Josh Stewart,,0,0
Ed Stinson,Arizona Cardinals ,5,160
James Stone,,0,0
Bryan Stork,New England Patriots ,4,105
Devin Street,Dallas Cowboys ,5,146
Xavier Su'a-Filo,Houston Texans ,2,33
Vinnie Sunseri,New Orleans Saints ,5,167
Will Sutton,Chicago Bears ,3,82
Travis Swanson,Detroit Lions ,3,76
Lorenzo Taliaferro,Baltimore Ravens ,4,138
Brandon Thomas,San Francisco 49ers ,3,100
De'Anthony Thomas,Kansas City Chiefs ,4,124
Jemea Thomas,New England Patriots ,6,206
Logan Thomas,Arizona Cardinals ,4,120
Robert Thomas,,0,0
Khyri Thornton,Green Bay Packers ,3,85
D.J. Tialavea,,0,0
Jordan Tripp,Miami Dolphins ,5,171
Stephon Tuitt,Pittsburgh Steelers ,2,46
Billy Turner,Miami Dolphins ,3,67
Trai Turner,Carolina Panthers ,3,92
George Uko,,0,0
Uani' Unga,,0,0
Brent Urban,Baltimore Ravens ,4,134
John Urschel,Baltimore Ravens ,5,175
Dustin Vaughan,,0,0
Brock Vereen,Chicago Bears ,4,131
Jason Verrett,San Diego Chargers ,1,25
Jimmie Ward,San Francisco 49ers ,1,30
L'Damian Washington,,0,0
Todd Washington,,0,0
Jaylen Watkins,Philadelphia Eagles ,4,101
Sammy Watkins,Buffalo Bills ,1,4
Chris Watt,San Diego Chargers ,3,89
Larry Webster,Detroit Lions ,4,136
Keith Wenning,Baltimore Ravens ,6,194
Terrance West,Cleveland Browns ,3,94
Ethan Westbrooks,,0,0
Lavelle Westbrooks,Cincinnati Bengals ,7,252
Chris Whaley,,0,0
James White,New England Patriots ,4,130
Andre Williams,New York Giants ,4,113
Damien Williams,,0,0
Avery Williamson,Tennessee Titans ,5,151
Albert Wilson,,0,0
Kerry Wynn,,0,0
David Yankey,Minnesota Vikings ,5,145
Jordan Zumwalt,Pittsburgh Steelers ,6,192
